item_name,code,quantity,brand,category,type,images,image_local,image_url,notes,aliases,search_keywords,default_count_unit
A CHOY,108,,,A,produce_plu,[],,,,,A CHOY 108   A PRODUCE_PLU  ,
ACORN SQUASH,4750,,,CORNS,produce_plu,[],,,,,ACORN SQUASH 4750   CORNS PRODUCE_PLU  ,
AMBROSIA APPLE,3438,,,APPLES,produce_plu,[],,,,,AMBROSIA APPLE 3438   APPLES PRODUCE_PLU  ,
ANAHEIM PEPPER,4677,,,PEPPERS,produce_plu,[],,,,,ANAHEIM PEPPER 4677   PEPPERS PRODUCE_PLU  ,
ANISE / FENNEL,4515,,,ANISE,produce_plu,[],,,,,ANISE / FENNEL 4515   ANISE PRODUCE_PLU  ,
ANJOU PEAR,4416,,,PEARS,produce_plu,[],,,,,ANJOU PEAR 4416   PEARS PRODUCE_PLU  ,
APRICOT,4218,,,APRICOT,produce_plu,[],,,,,APRICOT 4218   APRICOT PRODUCE_PLU  ,
ARROW ROOT (FUN-GOT),329,,,ARROW,produce_plu,[],,,,,ARROW ROOT (FUN-GOT) 329   ARROW PRODUCE_PLU  ,
ARTICHOKES,4516,,,ARTICHOKES,produce_plu,[],,,,,ARTICHOKES 4516   ARTICHOKES PRODUCE_PLU  ,
ARTICHOKES,4084,,,ARTICHOKES,produce_plu,[],,,,,ARTICHOKES 4084   ARTICHOKES PRODUCE_PLU  ,
ARTICHOKES PURPLE,4518,,,ARTICHOKES,produce_plu,[],,,,,ARTICHOKES PURPLE 4518   ARTICHOKES PRODUCE_PLU  ,
ARUGULA,4884,,,ARUGULA,produce_plu,[],,,,,ARUGULA 4884   ARUGULA PRODUCE_PLU  ,
ASIAN BROWN PEAR,4408,,,PEARS,produce_plu,[],,,,,ASIAN BROWN PEAR 4408   PEARS PRODUCE_PLU  ,
ASIAN YELLOW PEAR,4407,,,PEARS,produce_plu,[],,,,,ASIAN YELLOW PEAR 4407   PEARS PRODUCE_PLU  ,
ASPARAGUS,4080,,,ASPARAGUS,produce_plu,[],,,,,ASPARAGUS 4080   ASPARAGUS PRODUCE_PLU  ,
ASPARAGUS PURPLE,3079,,,ASPARAGUS,produce_plu,[],,,,,ASPARAGUS PURPLE 3079   ASPARAGUS PRODUCE_PLU  ,
ASPARAGUS WHITE,4522,,,ASPARAGUS,produce_plu,[],,,,,ASPARAGUS WHITE 4522   ASPARAGUS PRODUCE_PLU  ,
AVOCADO,4225,,,AVOCADOS,produce_plu,[],,,,,AVOCADO 4225   AVOCADOS PRODUCE_PLU  ,
AVOCADOES,4046,,,AVOCADOS,produce_plu,[],,,,,AVOCADOES 4046   AVOCADOS PRODUCE_PLU  ,
BABY DIAKON,4834,,,BABY,produce_plu,[],,,,,BABY DIAKON 4834   BABY PRODUCE_PLU  ,
BABY KAI CHOY,3161,,,BABY,produce_plu,[],,,,,BABY KAI CHOY 3161   BABY PRODUCE_PLU  ,
BABY NINO BANANA,4234,,,BANANAS,produce_plu,[],,,,,BABY NINO BANANA 4234   BANANAS PRODUCE_PLU  ,
BAGGED 4/8LB ORANGE,276,,,ORANGES,produce_plu,[],,,,,BAGGED 4/8LB ORANGE 276   ORANGES PRODUCE_PLU  ,
BAMBOO SHOOTS,250,,,BAMBOO,produce_plu,[],,,,,BAMBOO SHOOTS 250   BAMBOO PRODUCE_PLU  ,
BANANAS,4011,,,BANANAS,produce_plu,[],,,,,BANANAS 4011   BANANAS PRODUCE_PLU  ,
BARTLETT PEAR,4409,,,PEARS,produce_plu,[],,,,,BARTLETT PEAR 4409   PEARS PRODUCE_PLU  ,
BEAN SPROUTS BULK,4536,,,BEANS,produce_plu,[],,,,,BEAN SPROUTS BULK 4536   BEANS PRODUCE_PLU  ,
BEANS BROAD,4528,,,BEANS,produce_plu,[],,,,,BEANS BROAD 4528   BEANS PRODUCE_PLU  ,
BEANS GREEN,4066,,,BEANS,produce_plu,[],,,,,BEANS GREEN 4066   BEANS PRODUCE_PLU  ,
BEANS LONG,4527,,,BEANS,produce_plu,[],,,,,BEANS LONG 4527   BEANS PRODUCE_PLU  ,
BEANS YELLOW,4533,,,BEANS,produce_plu,[],,,,,BEANS YELLOW 4533   BEANS PRODUCE_PLU  ,
BEETS BULK,4540,,,BEETS,produce_plu,[],,,,,BEETS BULK 4540   BEETS PRODUCE_PLU  ,
BEETS BUNCH,4539,,,BEETS,produce_plu,[],,,,,BEETS BUNCH 4539   BEETS PRODUCE_PLU  ,
BLACK LG PLUM,4040,,,PLUMS,produce_plu,[],,,,,BLACK LG PLUM 4040   PLUMS PRODUCE_PLU  ,
BLACK SEEDLESS GRAPE,4056,,,GRAPES,produce_plu,[],,,,,BLACK SEEDLESS GRAPE 4056   GRAPES PRODUCE_PLU  ,
BLOOD ORANGE,4381,,,ORANGES,produce_plu,[],,,,,BLOOD ORANGE 4381   ORANGES PRODUCE_PLU  ,
BLUE POTATO,3128,,,POTATOS,produce_plu,[],,,,,BLUE POTATO 3128   POTATOS PRODUCE_PLU  ,
BOK CHOY,4545,,,BOK CHOY,produce_plu,[],,,,,BOK CHOY 4545   BOK CHOY PRODUCE_PLU  ,
BOK CHOY BABY,4544,,,BOK CHOY,produce_plu,[],,,,,BOK CHOY BABY 4544   BOK CHOY PRODUCE_PLU  ,
BOK CHOY PEARL,4839,,,BOK CHOY,produce_plu,[],,,,,BOK CHOY PEARL 4839   BOK CHOY PRODUCE_PLU  ,
BOSC PEAR,4413,,,PEARS,produce_plu,[],,,,,BOSC PEAR 4413   PEARS PRODUCE_PLU  ,
BRAEBURN LG APPLE,4103,,,APPLES,produce_plu,[],,,,,BRAEBURN LG APPLE 4103   APPLES PRODUCE_PLU  ,
BRAEBURN SM APPLE,4101,,,APPLES,produce_plu,[],,,,,BRAEBURN SM APPLE 4101   APPLES PRODUCE_PLU  ,
BROCCOFLOWER,4567,,,BROCCOFLOWER,produce_plu,[],,,,,BROCCOFLOWER 4567   BROCCOFLOWER PRODUCE_PLU  ,
